site_reference,name_address,hectares,planning_status,lon,lat
0245,"Heathfield Special School, Chell Heath Road, Chell Heath, Stoke on Trent, ST6 6PD",1.08,not-permissioned,-2.1799909999999993,53.067349
64571,"Heathfield Special School, Chell Heath Road, Chell Heath, Stoke on Trent, ST6 6PD",1.08,permissioned,-2.1799909999999993,53.067349
245,"Heathfield Special School, Chell Heath Road, Chell Heath, Stoke on Trent, ST6 6PD",1.08,not-permissioned,-2.1799909999999993,53.067349
0481,"Newlands Street, Shelton",1.05,permissioned,-2.1853020000000005,53.011313
0838,"Stoke-on-Trent, College Road",1.04,permissioned,-2.1797590000000002,53.014993
0216,"Former Marychurch CE Primary School, Piggott Grove, Stoke on Trent, ST2 9BZ",1.04,not-permissioned,-2.1441340000000007,53.023919
187,"Foley Goods Yard, Bute Street, Fenton",1.0,not-permissioned,-2.1450919999999996,52.99259700000001
0187,"Foley Goods Yard, Bute Street, Fenton",1.0,not-permissioned,-2.1450919999999996,52.99259700000001
58335,"Shelton Pool, Simon Place, Shelton, Stoke on Trent, ST4 2DD and adjacent Shelton Day Centre, Cemetery Road, Shelton, Stoke on Trent, ST4 2DL",0.94,permissioned,-2.1856079999999998,53.014696
66398,"Land comprising and to the rear of former Meir Sport and Social Club, Weston Road, Stoke-on-Trent",0.94,permissioned,-2.101952000000001,52.982929
61710,"Land at Broad Street / Potteries Way, Hanley, Stoke-on-Trent",0.92,permissioned,-2.179537999999999,53.022087
0137,"Broadway House, Broadway, Meir",0.92,not-permissioned,-2.1029710000000006,52.98297199999999
137,"Broadway House, Broadway Meir",0.92,not-permissioned,-2.1029710000000006,52.98297199999999
56967,"Land at, Furlong Road, Tunstall, Stoke-on-Trent",0.91,permissioned,-2.2038689999999996,53.064107
304,"Land at, Furlong Road, Tunstall, Stoke-on-Trent",0.91,not-permissioned,-2.2038689999999996,53.064107
0304,"Land at, Furlong Road, Tunstall, Stoke-on-Trent",0.91,not-permissioned,-2.2038689999999996,53.064107
0410,"Melville Street/Wooliscroft Factory, Berryhill and Hanley East, Stoke on Trent, Staffordshire,ST1 3LY",0.89,not-permissioned,-2.163709,53.02166400000001
60951,"Shelton Pool, Simon Place, Shelton, Stoke on Trent, ST4 2DD and adjacent Shelton Day Centre, Cemetery Road, Shelton, Stoke on Trent ST4 2DL",0.89,permissioned,-2.1856079999999998,53.014696
850,"Land at, Daisy Bank Road, Norton",0.88,not-permissioned,-2.1618519999999997,53.04897499999999
0220,"Former Parkside Residential Home, Weston Coyney Road, Stoke on Trent, and Training & Development Centre",0.87,not-permissioned,-2.1077310000000002,52.989273999999995
220,"Former Parkside Residential Home. Weston Coyney Road, Stoke on Trent, and Training & Development Centre",0.87,not-permissioned,-2.1077310000000002,52.989273999999995
66228,"Former Parkside Residential Home, Weston Coyney Road, Weston Coyney, Stoke-on-Trent, ST3 6ES",0.85,permissioned,-2.1077380000000003,52.989274
0370,"Land off, Baron Street, Fenton",0.85,not-permissioned,-2.147767,52.993536999999996
370,"Land off, Baron Street, Fenton",0.85,not-permissioned,-2.147767,52.993536999999996
767,"Coronation Avenue Development Land, off Heathcote Road, Longton",0.78,not-permissioned,-2.1400489999999994,52.986794
0484,"Well Street, Hanley",0.77,not-permissioned,-2.169838,53.02271499999999
0549,"Works, Commercial Road, Hanley",0.76,not-permissioned,-2.1661809999999995,53.022191
549,"Works, Commercial Road, Hanley",0.76,not-permissioned,-2.1661809999999995,53.022191
66795,"Land at Robert Knox Way, Hartshill, Stoke-on-Trent",0.74,permissioned,-2.204955,53.01302599999999
54289,"Former Simpsons Pottery, Grange Street, Cobridge, Stoke-on-Trent, ST62JT",0.72,permissioned,-2.1877019999999994,53.03654599999999
61755,"New Lodge, Trent Valley Road, Oakhill, Stoke-on-Trent, ST4 5LG",0.7,permissioned,-2.197885999999999,52.991528
0774,"Development Land at Bengry Road, Longton",0.69,not-permissioned,-2.117402,52.981362
774,"Development Land at Bengry Road, Longton",0.69,not-permissioned,-2.117402,52.981362
506,"Site of Penkhull Farm, Garden Street, Penkhull, ST4 5DY",0.63,pending-decision,-2.1983200000000007,53.00017900000001
0506,"Site of Penkhull Farm, Garden Street, Penkhull, ST4 5DY",0.63,permissioned,-2.1983200000000007,53.00017900000001
56801,"Former Falcon Works, Sturgess Street, Stoke-on-Trent ST4 7QH",0.62,not-permissioned,-2.1894070000000005,53.001639000000004
60035,"Goldenhill Working Mens Club, Kidsgrove Road, Goldenhill, Stoke-on-Trent, ST6 5SH",0.62,permissioned,-2.2221640000000003,53.078821
60894,"Land at Shearer Street and Bedford Road, Shelton, Stoke-on-Trent",0.61,permissioned,-2.1870330000000004,53.01726299999999
67346,"Goods Yard, Glebe Street, Stoke-on-Trent, ST4 1HG",0.6,permissioned,-2.1803550000000005,53.006576
840,"Swift House, Glebe Street, Stoke",0.58,permissioned,-2.180301,53.006561999999995
0840,"Swift House, Glebe Street, Stoke",0.58,not-permissioned,-2.180301,53.006561999999995
63096,"Former Fenton Local Centre and car park, Baker Street, Fenton, Stoke-on-Trent ST4 3AF",0.56,permissioned,-2.163761000000001,52.998966
68352,"Land at Godwin Way, Trent Vale, Stoke-on-Trent",0.56,permissioned,-2.208175000000001,52.99774299999999
66289,"Land at Godwin Way, Trent Vale, Stoke-on-Trent",0.55,permissioned,-2.208175000000001,52.99774299999999
706,"Car Parks at Woodbank Street, Burslem",0.55,permissioned,-2.1985840000000008,53.04307300000001
0706,"Car Parks at Woodbank Street, Burslem",0.55,not-permissioned,-2.1985840000000008,53.04307300000001
743,"Stoke Car Park and Depot, Booth Street, Stoke",0.54,not-permissioned,-2.1863660000000014,53.000096
60994,"Queen Elizabeth II Court, Temple Street, Fenton, Stoke-on-Trent",0.54,permissioned,-2.1677979999999994,52.99898699999999
64303,"Unit 1, Kendrick Street, Longton, Stoke on Trent, ST3 1JF",0.51,not-permissioned,-2.122870000000001,52.98637199999999
67321,"Land to North East of Bellerton Lane, Norton, Stoke-on-Trent, ST6 8ED",0.5,permissioned,-2.1607910000000006,53.055477999999994
222,"Former pottery, Parsonage Street, Tunstall",0.49,not-permissioned,-2.2139470000000006,53.063197
69134,"597 Leek New Road, Stoke-on-Trent, ST1 6EH",0.49,permissioned,-2.1650270000000007,53.04720199999999
0222,"Former pottery, Parsonage Street, Tunstall",0.49,not-permissioned,-2.2139470000000006,53.063197
64851,"Former Stoke Police Station, Boothen Road, Stoke, Stoke-on-trent, ST4 4AH",0.47,permissioned,-2.1843059999999994,53.001781
51283,"Land off Westport Road, Hall Street & Pack Horse Lane, Burslem Stoke-on-Trent, ST6 4BB",0.47,not-permissioned,-2.2008090000000005,53.04548499999999
60777,"Former Tunstall Health Centre, Dunning Street, Tunstall, Stoke On Trent, ST6 5AP",0.47,not-permissioned,-2.2124539999999997,53.060129
55794,"Former Tunstall Health Centre, Dunning Street, Tunstall, Stoke On Trent, ST6 5AP",0.47,permissioned,-2.2124539999999997,53.060129
61905,"Trentwood Timber Supplies Ltd, Junction of Stoke Old Road and s, Stoke-on-Trent,ST4 6HD",0.47,not-permissioned,-2.210662000000001,53.01134900000001
0364,"Land off, Lichfield Street, Hanley",0.44,not-permissioned,-2.1712040000000004,53.017705
364,"Land off, Lichfield Street, Hanley",0.44,not-permissioned,-2.1712040000000004,53.017705
63216,"Portland House, Portland Street, Hanley, Stoke-on-Trent, ST1 5NG",0.43,permissioned,-2.1840329999999994,53.029981
61641,"Abbots House, 103 Abbots Road, Abbey Hulton, Stoke-on-Trent, ST2 8DU",0.42,permissioned,-2.1375910000000005,53.038461
58702,"Land at the former Edith Beddow Residential Home, Turnberry Drive, Trentham, Stoke-on-Trent",0.42,permissioned,-2.196152,52.973962
58748,"Land adjacent 52 Glebedale Road, Fenton, Stoke on Trent, ST4 3AQ",0.42,permissioned,-2.1617679999999995,52.998276
58372,"Land to side and rear of London House, London Road, Stoke-on-Trent",0.41,permissioned,-2.1871680000000002,53.002971
59219,"Site at Former Irish Club, 27 North Street, Stoke On Trent, ST4 7DQ",0.4,permissioned,-2.1888750000000003,53.00847499999999
68059,"Hanley Police Station, Bethesda Street, Hanley, Stoke-on-Trent, ST1 3DE",0.39,permissioned,-2.176973,53.025099000000004
468,"Pottery, Sutherland Road, Longton",0.38,not-permissioned,-2.1259550000000003,52.98659399999998
0468,"Pottery, Sutherland Road, Longton",0.38,not-permissioned,-2.1259550000000003,52.98659399999998
68096,"Snow's Garage, 706 Leek Road, Stoke-On-Trent, ST1 3NP",0.36,permissioned,-2.159334,53.02079299999999
63129,"Land at Norfolk Street, Norfolk Street, Shelton, Stoke on Trent",0.36,permissioned,-2.1821549999999994,53.01558200000001
58660,"Land Adjacent 13 Beadnell Grove, Dresden, Stoke on Trent",0.36,permissioned,-2.1335420000000007,52.977466
57831,"Land at, Norfolk Street, Norfolk Street, Shelton, Stoke on Trent",0.36,permissioned,-2.1821549999999994,53.01558200000001
62726,"Snow''s Garage, 706 Leek Road, Stoke-On-Trent, ST1 3NP",0.36,permissioned,-2.159334,53.02079299999999
64044,"Land at Norfolk Street, Norfolk Street, Shelton, Stoke on Trent",0.36,permissioned,-2.1821549999999994,53.01558200000001
65959,"560 Lightwood Road, Lightwood, Stoke-on-Trent, ST3 7EH",0.35,permissioned,-2.1174830000000004,52.970932999999995
68989,"Former Brindleys Lock, Silverstone Crescent, Packmoor, Stoke-on-Trent, ST6 6XA",0.34,permissioned,-2.201782,53.07912899999999
63168,"Swallows Nest, Ufton Close, Blurton, Stoke-on-Trent, ST3 3NQ",0.34,permissioned,-2.1570800000000006,52.96635299999999
61822,"Swallows Nest, Ufton Close, Blurton, Stoke-on-Trent, ST3 3NQ",0.34,permissioned,-2.1570799999999997,52.966355
0844,"Land at Smithfield, Hanley",0.34,not-permissioned,-2.179428000000001,53.022316000000004
62728,"Former Florence County Primary School, St Clair Street, Florence, Stoke-on-Trent, ST3 4NH",0.33,permissioned,-2.1307059999999995,52.980199000000006
64444,"Panorama. Gravelly Bank, Lightwood, Stoke-on-Trent, ST3 7EG",0.33,permissioned,-2.1114559999999996,52.96808999999999
59852,"Trent Country Club, Birches Head Road, Birches Head, Stoke-on-Trent, ST2 8DD",0.33,not-permissioned,-2.1467370000000003,53.040343
55692,"Bird In Hand, 942 London Road, Stoke On Trent, ST4 5NX",0.33,permissioned,-2.202111,52.986826
68012,"Panorama. Gravelly Bank, Lightwood, Stoke-on-Trent, ST3 7EG",0.33,permissioned,-2.1114559999999996,52.96808999999999
57947,"Smallthorne Workingmen's Club, Chetwynd Street, Smallthorne, Stoke On Trent, ST6 1PP",0.32,permissioned,-2.1697440000000006,53.05366699999999
0773,"Car Park adjacent Warren Street, Longton",0.32,not-permissioned,-2.1284299999999994,52.98399299999999
0363,"Land off, Leek Road, Northwood, ST1 6AT",0.31,permissioned,-2.1535980000000015,53.02537699999999
56109,"Former Queens Hotel, 489 Etruria Road, Hanley, Stoke-on-Trent. ST4 6JJ",0.31,permissioned,-2.2062380000000013,53.01738699999999
61283,"Land off, Leek Road, Northwood, ST1 6AT",0.31,not-permissioned,-2.1535980000000015,53.02537699999999
67419,"Land rear of the former Norton Arms, Endon Road, Norton-in-the-Moors, Stoke-on-Trent",0.31,permissioned,-2.1606270000000003,53.06340699999999
59587,"Former Queens Hotel, 489 Etruria Road, Hanley, Stoke-on-Trent. ST4 6JJ",0.31,permissioned,-2.2062380000000013,53.01738699999999
68498,"Crown Works, The Strand, Longton, Stoke-on-Trent",0.3,permissioned,-2.135062000000001,52.98630299999999
58728,"Land at Chetwynd Street, Smallthorne, Stoke-on-Trent, ST6 1PP",0.3,permissioned,-2.1692460000000002,53.053288
62171,"Former Gilberts Furniture Store, Shelton New Road, Stoke-on-Trent ST4 6DS",0.29,permissioned,-2.210998,53.012067
62711,"Land at Sneyd Street, Stoke-On-Trent, ST6 2NS",0.28,permissioned,-2.176647,53.037887999999995
65929,"Former Gilberts Furniture Store, Shelton New Road, Stoke-on-Trent ST4 6DS",0.28,permissioned,-2.210998,53.012067
66416,"Land off Wellesley Street, adjacent to Wellesley House., Wellesley Street, Shelton, Stoke-on-Trent, ST1 4NF",0.28,permissioned,-2.1811550000000004,53.016987
333,"Land at, Vernon Road, Stoke-on-Trent, ST4 2TP",0.28,not-permissioned,-2.186137,53.010027
60680,"Keele Street, Tunstall, Stoke on Trent, ST6 5AR.",0.28,permissioned,-2.2121579999999996,53.061357
0333,"Land at, Vernon Road, Stoke-on-Trent, ST4 2TP",0.28,not-permissioned,-2.186137,53.010027
0256,"Keele Street, Tunstall, Stoke on Trent, ST6 5AR.",0.28,not-permissioned,-2.2121579999999996,53.061357
186,"Ford Green House, Ford Green Road, Smallthorne",0.27,not-permissioned,-2.1668609999999995,53.055223999999995
0186,"Ford Green House, Ford Green Road, Smallthorne",0.27,not-permissioned,-2.1668609999999995,53.055223999999995
0770,"Commerce Street Car Park, Longton",0.27,not-permissioned,-2.133468,52.98672599999999
60965,"Lightwood Tavern, 581 Lightwood Road, Lightwood, Stoke-",0.27,permissioned,-2.114911000000001,52.970485000000004
62106,"Lightwood Tavern, 581 Lightwood Road, Lightwood, Stoke-on-Trent",0.27,permissioned,-2.1149119999999995,52.970483
58896,"Chris Shenton Engineering Ltd, Rear of 30 Wilson Road, Hanford, Stoke-on-Trent, ST4 4QQ",0.26,not-permissioned,-2.1968570000000005,52.97626399999999
63849,"Land to the rear of No 521, Leek New Road, Sneyd Green, Stoke-on-Trent, ST1 6EH",0.26,permissioned,-2.1667530000000004,53.046487
60629,"Site of former Trentham Library, Trentley Road, Trentham, Stoke-on-Trent, ST4 8PH",0.25,permissioned,-2.1952990000000008,52.96934999999999
0734,"Hope Street Car Park, Hanley",0.25,not-permissioned,-2.1788869999999996,53.028851
65820,"122, Broad Street, Hanley, Stoke-On-Trent, ST1 4EQ",0.25,permissioned,-2.181874,53.020623999999984
62496,"Site of former Trentham Library, Trentley Road, Trentham, Stoke-on-Trent, ST4 8PH",0.25,permissioned,-2.195298,52.96935
56478,"Hollybank House, Hollybank Crescent, Stoke-on-Trent, ST4 5AR",0.25,permissioned,-2.1946670000000004,52.993913000000006
734,"Hope Street Car Park, Hanley",0.25,not-permissioned,-2.1788869999999996,53.028851
58571,"Ubberley Working Mens Club, Ubberley Road, Bucknall, Stoke-on-Trent, ST2 0EF",0.24,permissioned,-2.131737,53.01694
66000,"Ubberley Working Mens Club, Ubberley Road, Bucknall, Stoke-on-Trent, ST2 0EF",0.24,not-permissioned,-2.131737,53.01694
58354,"Former Stanfield Nursery School, Dollys Lane, Burslem, Stoke-on-Trent, ST6 7AW",0.24,not-permissioned,-2.1919400000000007,53.054658999999994
65860,"Haulage Yard, Stanway Avenue. Sneyd Green, ST6 2LP",0.23,permissioned,-2.1779630000000005,53.040918000000005
63564,"Land to the rear of 400 King Street, Stoke-on-Trent, ST4 3DB",0.23,not-permissioned,-2.143918,52.99277899999999
66347,"The Jester, Biddulph Road, Chell, Stoke-on-Trent, ST6 6TR",0.23,permissioned,-2.1855680000000004,53.078616
63108,"Land off Pembridge Road, Blurton, Stoke-on-Trent, ST3 3BU",0.23,permissioned,-2.157619,52.97050999999999
68593,"The Jester, Biddulph Road, Chell, Stoke-on-Trent, ST6 6TR",0.23,permissioned,-2.1855680000000004,53.078616
62528,"Queen of Hearts, Lillydale Road, Bucknall, Stoke-on-Trent",0.22,permissioned,-2.135013999999999,53.022468
61440,"Meir Health Centre, Saracen Way, Meir, Stoke-on-Trent, ST3 7DS",0.22,permissioned,-2.1037129999999995,52.97703099999999
62020,"Former Foxley Works, Redhills Road, Milton, Stoke-on-Trent, ST2 7PE",0.22,permissioned,-2.1516889999999993,53.04502600000001
64665,"Land and buildings to the north of Glass Street/South of Hillchurch Street, Hanley, Stoke on Trent",0.22,not-permissioned,-2.1736850000000008,53.027637
63206,"Ford Green House, Ford Green Road, Smallthorne, Stoke-on-Trent, ST6 8EA",0.22,not-permissioned,-2.1668350000000003,53.055251
57407,"338 Weston Road, Weston Coyney, Stoke On Trent, ST3 6EZ",0.22,permissioned,-2.1006740000000006,52.98955999999998
59187,"Meir Health Centre, Saracen Way, Meir, Stoke-on-Trent, ST3 7DS",0.22,permissioned,-2.1037129999999995,52.97703099999999
58037,"Former Foxley Works, Redhills Road, Milton, Stoke-on-Trent, ST2 7PE",0.22,permissioned,-2.1516889999999993,53.04502600000001
58830,"The Limes Residential Home, Glebedale Road, Fenton, Stoke-on-Trent, ST4 3AP",0.21,permissioned,-2.1628140000000005,52.997718
58844,"Former St Chads Church, Scotia Road, Tunstall, Stoke-on-Trent, ST6 6EQ",0.21,permissioned,-2.203388000000001,53.055993
64573,"31- 49 Parliament Row and 55 Old Hall Street, Hanley, Stoke-on-Trent, ST1 1PW",0.2,not-permissioned,-2.1733780000000005,53.02534599999999
58939,"Land at rear of Greenfield Centre, Furlong Road, Tunstall, Stoke-on-Trent, ST6 5UP",0.2,not-permissioned,-2.211108999999999,53.064111
65591,"Former St Chads Church, Scotia Road, Tunstall, Stoke-on-Trent, ST6 6EQ",0.2,permissioned,-2.203388000000001,53.055993
