site_reference,name_address,hectares,planning_status,lon,lat
67868,"Land at Kimberley Street, Longton, Stoke-on-Trent, ST3 2QY",0.1025,permissioned,-2.1406460000000003,52.98124399999999
67421,"35 Stafford Street, Hanley, Stoke-on-Trent, ST1 1JU",0.1002,permissioned,-2.176243000000001,53.025099999999995
63624,"691 Dividy Road, Bentilee, Stoke-on-Trent, ST2 0AH",0.1,permissioned,-2.121021,53.00487100000001
63272,"Bird in Hand PH, 942 London Road, Stoke-on-Trent, ST4 5NX",0.1,permissioned,-2.202111,52.986826
60638,"First Floor, 2-8 Queen Street, Burslem, Stoke-on-Trent, ST6 3EF",0.1,not-permissioned,-2.196923,53.04502899999999
68736,"18-20 Queen Street, Burslem, Stoke-on-Trent,",0.1,permissioned,-2.1978330000000006,53.044797
64996,"The Coach House, 691 Dividy Road, Bentilee, Stoke-on-Trent, ST2 0AH",0.1,permissioned,-2.1210259999999996,53.00486999999999
56786,"Site of former ABRA Building Services Ltd, Mulgrave Street, Hanley, Stoke-on-Trent, ST1 5EP",0.09,permissioned,-2.184384000000001,53.03197599999999
57618,"Land to rear of 3 to 9 Dorcas Drive, Fenton, Stoke On Trent, ST3 2DP",0.09,permissioned,-2.1568529999999995,52.990159999999996
67767,"Land at Minshall Street, Fenton, Stoke-on-Trent",0.09,permissioned,-2.1756660000000005,52.99683
62955,"1 Marychurch Road, Bucknall, Stoke-on-Trent, ST2 9BJ",0.08,not-permissioned,-2.1435589999999998,53.02472399999999
67567,"Land at Godwin Way, Trent Vale, Stoke-on-Trent, ST4 6JP",0.08,permissioned,-2.2086980000000005,52.996966
66491,"Hollybush Inn, 1 Cardwell Street, Hanley, Stoke-on-Trent, ST1 6PL",0.08,permissioned,-2.1640509999999997,53.030070999999985
63896,"Land at Ratton Street, Hanley, Stoke-on-Trent, ST1 2HH",0.08,not-permissioned,-2.1709020000000003,53.02813499999999
66867,"Hillside Cottage, 82 Meir Road, Normacot, Stoke-on-Trent, ST3 7JB",0.075,permissioned,-2.114472,52.97901599999999
68739,"Land at School Street, Stoke-on-Trent",0.07,permissioned,-2.2034559999999996,52.987984999999995
62434,"Land adjacent 214 London Road and Club Street, Stoke-on-Trent ST4 5RH",0.07,permissioned,-2.1882000000000006,52.999847
62462,"41 -51, Queen Street, Burslem, Stoke On Trent, ST6 3EH",0.07,not-permissioned,-2.1979759999999993,53.04442900000001
60285,"1 Marychurch Road, Bucknall, Stoke-on-Trent, ST2 9BJ",0.07,permissioned,-2.1435589999999998,53.02472399999999
59462,"Webberley Limited, Percy Street, Hanley, Stoke-on-Trent, ST1 1NG",0.07,permissioned,-2.1743259999999998,53.02505599999999
64620,"Former Atlantic Motors Limited, Leek Road, Stoke-on-Trent, ST4 2BW",0.07,permissioned,-2.1770810000000003,53.008809
56463,"D & K Evans Ltd, Falcon View Buildings, 24 Sturgess Street, Stoke-on-Trent, ST4 7QH",0.07,permissioned,-2.1884799999999993,53.00218900000001
53087,"7-27 Newhall Street, Hanley, ST1 5HQ",0.07,permissioned,-2.178153,53.027001
60636,"Majestic Chambers, 24 Campbell Place, Stoke-on-Trent, ST4 1LX",0.06,permissioned,-2.185510999999999,53.003320999999985
56575,"56 Edensor Road, Longton, Stoke On Trent, ST3 2QE",0.06,permissioned,-2.1393789999999995,52.985524
68091,"12-16 Town Road, Hanley, Stoke-on-Trent, ST1 2JQ",0.06,permissioned,-2.1743140000000003,53.027412999999996
66420,"123-127 Church Street, Stoke, Stoke-on-Trent, ST4 1DB",0.06,permissioned,-2.1866499999999998,53.00448099999999
61889,"Coronation Court, Lonsdale Street, Stoke-on-Trent, BB4 4DR",0.06,permissioned,-2.1829320000000005,53.00132399999998
55621,"116-122 Waterloo Road, Burslem, Stoke-on-Trent, ST6 3HB",0.06,permissioned,-2.1929849999999993,53.041138
61735,"56 Edensor Road, Longton, Stoke On Trent, ST3 2QE",0.06,not-permissioned,-2.1393789999999995,52.985524
62023,"143 Uttoxeter Road, Stoke-on-Trent, ST3 1QQ",0.06,not-permissioned,-2.1264320000000003,52.984936999999995
66975,"32-38, Piccadilly, Hanley, Stoke-on-Trent, ST1 1EG",0.0544,permissioned,-2.1772859999999996,53.025045
67128,"Reliance House, Hamil Road, Burslem, Stoke-on-Trent, ST6 1DP",0.0528,permissioned,-2.1956019999999996,53.046266
65345,"Land at 31-33 Houghton Street, Hanley, Stoke On Trent, ST1 3BJ",0.05,not-permissioned,-2.1745350000000014,53.01861
65870,"165-169 High Street, Tunstall, Stoke-on-Trent, ST6 5EA",0.05,not-permissioned,-2.210779,53.059063
63348,"24 - 26 Glover Street, Hanley, Stoke-on-Trent, ST1 2LU",0.05,not-permissioned,-2.1679370000000002,53.033221999999995
59182,"Ringway House, Bryan Street, Hanley, Stoke-on-Trent, ST1 5AJ",0.05,not-permissioned,-2.177617999999999,53.029245
57805,"Land at 31-33 Houghton Street, Hanley, Stoke On Trent, ST1 3BJ",0.05,not-permissioned,-2.1745350000000014,53.01861
58658,"24 - 26 Glover Street, Hanley, Stoke-on-Trent, ST1 2LU",0.05,permissioned,-2.1679370000000002,53.033223
67599,"Methodist Church, Clewlow Place, Longton, Stoke-on-Trent, ST3 5DA",0.05,permissioned,-2.1281339999999997,52.995848
64239,"6, 8 and 10 Bagnall Street, Hanley, Stoke-On-Trent, ST1 3AD",0.05,permissioned,-2.175978000000001,53.023406
67240,"39 Albion Street, Hanley, Stoke-on-Trent, ST1 1QF",0.042,permissioned,-2.177309,53.023427000000005
67450,"Busy Bugs Nursery, Havelock Place, Shelton, Stoke-on-Trent, ST1 4PR",0.042,permissioned,-2.220048,53.06919
63231,"Hamil House, Hamil Road, Burslem, Stoke-on-Trent, ST6 1AQ",0.04,permissioned,-2.1939389999999994,53.047498999999995
60499,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent, ST1 5SY",0.04,permissioned,-2.177339000000001,53.026241999999996
56734,"43 Wesley Street & 46-52 Piccadilly Street, Tunstall, Stoke On Trent, ST6 5AE",0.04,permissioned,-2.211703,53.05788199999999
63145,"Lord John House, Waterloo Street, Hanley, Stoke-on-Trent, ST1 3PW",0.04,permissioned,-2.1694299999999997,53.022893
65329,"59 Gilman Street, Hanley, Stoke-on-Trent, ST1 3PL",0.04,not-permissioned,-2.170766000000001,53.024218999999995
62011,"Site at 5 - 15 Uttoxeter Road, Longton, Stoke-on-Trent ST3 1NX",0.04,not-permissioned,-2.132219,52.98742399999999
66203,"8-16 Stafford Street, Hanley, Stoke-on-Trent, ST1 1JQ",0.04,permissioned,-2.175093000000001,53.024653
62706,"6 Jasper Street, Hanley, Stoke-on-Trent, ST1 3DA",0.04,permissioned,-2.1737450000000003,53.021889
68196,"Cliffe Vale Inn, 26 Shelton Old Road, Stoke, Stoke-on-Trent, ST4 7RY",0.04,permissioned,-2.1870709999999995,53.008019
62965,"18 Haydon Street, Basford, Stoke-on-Trent, ST4 6JE",0.04,permissioned,-2.2079679999999997,53.01540899999999
61827,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent ST1 5SY",0.04,not-permissioned,-2.177339000000001,53.026241999999996
59601,"The Warehouse, Lower Foundry Street, Hanley, Stoke-on-Trent, ST1 5HF",0.04,permissioned,-2.178364,53.02656300000001
64814,"Former Red Gate Public House, 10 Russell Street, Longton, Stoke-on-Trent, ST3 4HQ",0.04,permissioned,-2.1365849999999997,52.97870999999999
63704,"Cliffe Vale Inn, 26 Shelton Old Road, Stoke, Stoke-on-Trent, ST4 7RY",0.04,permissioned,-2.1870709999999995,53.008019
60389,"Junction of Upper Hillchurch Street & Ratton Street, Hanley, Stoke-on-Trent, ST1 2BX",0.04,permissioned,-2.171627,53.028411999999996
60500,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent ST1 5SY",0.04,permissioned,-2.177339000000001,53.026241999999996
67140,"The Roebuck, Wedgwood Place, Burslem, Stoke-on-Trent, ST6 4ED",0.035,permissioned,-2.1978560000000007,53.046496
59519,"49 Mcgough Street, Tunstall, Stoke-on-Trent, ST6 5DJ",0.03,not-permissioned,-2.2116570000000007,53.05772599999999
63756,"Stafford House, Upper Clough Street, Hanley, Stoke-On-Trent, ST1 4AS",0.03,permissioned,-2.179832,53.024298999999985
58618,"17 Hill Street, Stoke-on-Trent, ST4 1NL",0.03,permissioned,-2.1869300000000007,53.004259999999995
60223,"Unit 2, Victoria House, Paxton Street, Hanley, Stoke-on-Trent, ST1 3SD",0.03,not-permissioned,-2.171589,53.01915399999999
60308,"Former Cheshire Cheese PH, Madison Street, Tunstall, Stoke-on-Trent ST6 5HS",0.03,permissioned,-2.211608000000001,53.062147999999986
64923,"44 Jasper Street, Hanley, Stoke-on-Trent, ST1 3DA",0.03,not-permissioned,-2.1752290000000003,53.021255999999994
65841,"7-11 Piccadilly, Hanley, Stoke-on-Trent, ST1 1DG",0.03,permissioned,-2.1763199999999996,53.02529200000001
63067,"Former Weston Coyney Arms, 331 Weston Coyney Road, Weston Coyney, Stoke-on-Trent, ST3 6ES",0.03,permissioned,-2.1063850000000004,52.98934599999999
69103,"49 Mcgough Street, Tunstall, Stoke-on-Trent, ST6 5DJ",0.03,permissioned,-2.2116570000000007,53.05772599999999
62072,"Prohibition House, Trinity Street, Hanley, Stoke-on-Trent, ST1 5LA",0.03,not-permissioned,-2.177250999999999,53.025958
65194,"12 Jasper Street, Hanley, Stoke-on-Trent, ST1 3DA",0.03,permissioned,-2.1740579999999996,53.021747
67837,"Land at corner of, Stoke Road and Cauldon Road, Stoke-on-Trent, ST4 2QW",0.0265,permissioned,-2.182824,53.012533
67516,"2 Wolseley Road, Oakhill, Stoke-on-Trent, ST4 5BL",0.0225,permissioned,-2.19681,52.990657000000006
60941,"17/19 Glebe Street, Stoke On Trent, ST4 1JG",0.02,permissioned,-2.182591999999999,53.00394300000001
68079,"15-27 Belgrave Road, Dresden, Stoke-on-Trent, ST3 4PP",0.02,permissioned,-2.1352460000000004,52.979625
62379,"Port Vale Football Club, Hamil Road, Burslem, Stoke-on-Trent ST6 1AJ",0.02,not-permissioned,-2.1914400000000005,53.049889999999984
60527,"Former Molly Lees Public House, Mountford Street, Burslem, Stoke-on-Trent, ST6 4EJ",0.02,permissioned,-2.195858999999999,53.04802899999999
65614,"54-56 Anchor Road, Adderley Green, Stoke-on-Trent, ST3 1LH",0.02,permissioned,-2.130452000000001,52.991078
