bsi,ndvi
-0.18452,0.55955
-0.16595,0.58485
-0.33739,0.70059
-0.28039,0.65794
-0.22021,0.58132
-0.22748,0.55967
-0.22286,0.59582
-0.24987,0.62578
-0.24808,0.62722
0.03888,0.17537
0.04827,0.19061
-0.25803,0.6157
-0.02097,0.28889
-0.14852,0.54229
-0.12723,0.54186
-0.12357,0.55061
0.07316,0.23461
-0.04197,0.42171
-0.21674,0.62382
-0.23768,0.5634
-0.32104,0.65849
0.02938,0.19416
-0.18205,0.49625
-0.27805,0.60039
-0.04245,0.40131
-0.22821,0.60684
-0.2574,0.63114
-0.03015,0.4294
-0.06334,0.44216
-0.23552,0.62332
-0.23398,0.63587
-0.07548,0.41829
-0.30499,0.6755
-0.12908,0.53931
-0.10386,0.45273
-0.31592,0.68783
-0.18173,0.58047
-0.11862,0.54896
-0.1019,0.44627
-0.18249,0.56446
-0.08501,0.50111
-0.27592,0.64926
-0.07548,0.36244
-0.33799,0.70119
-0.17177,0.54881
-0.20803,0.56345
-0.34855,0.70767
-0.29898,0.5957
-0.09047,0.38741
-0.17872,0.57082
-0.03914,0.32243
0.136,0.11904
-0.13065,0.5575
-0.17911,0.54275
-0.20258,0.59085
-0.17381,0.58881
-0.23433,0.56413
-0.28008,0.64484
-0.03241,0.33703
-0.04641,0.36723
-0.2597,0.61738
-0.28278,0.6342
-0.22504,0.62816
-0.14947,0.50148
-0.25517,0.58248
-0.0356,-0.00636
-0.16372,0.55562
-0.26651,0.59264
-0.27329,0.62957
-0.31572,0.67843
-0.08915,0.43884
-0.38126,0.62586
-0.29039,0.62397
0.03626,0.1831
-0.26315,0.60645
-0.24941,0.61905
-0.22369,0.59155
-0.26511,0.60954
-0.22404,0.6295
-0.23973,0.60356
-0.02483,0.33362
0.04617,0.12392
0.10712,0.09452
-0.01802,0.37827
-0.25327,0.60809
0.02027,0.34102
-0.27783,0.65528
-0.18216,0.54588
-0.13161,0.47395
-0.16705,0.53744
-0.27657,0.58331
-0.24216,0.63931
-0.16965,0.55163
-0.25884,0.65297
-0.27734,0.60191
0.04125,0.19016
0.02941,0.06426
-0.26415,0.64217
-0.0739,0.30417
-0.02812,0.36889
-0.1643,0.49673
-0.23064,0.61882
-0.33704,0.66706
-0.23565,0.60295
0.02075,0.21928
0.03674,0.14357
-0.17894,0.49548
-0.29936,0.61092
-0.15958,0.53797
0.04115,0.08594
-0.03699,0.34464
-0.29091,0.61909
-0.2734,0.649
-0.11693,0.56264
-0.10514,0.42517
-0.30024,0.59758
-0.26937,0.64057
-0.16863,0.57464
-0.30146,0.64237
0.04256,0.30764
-0.29652,0.65833
-0.30197,0.65449
-0.0247,0.38523
-0.1824,0.60856
0.02809,0.22163
-0.2106,0.57438
-0.28141,0.64703
-0.27467,0.57299
-0.23205,0.62456
0.01751,0.36396
-0.29702,0.64419
-0.26402,0.63905
-0.00765,0.27752
-0.29183,0.60963
-0.27903,0.58893
-0.24093,0.60585
-0.23548,0.60689
-0.20761,0.54153
-0.24895,0.60707
-0.02864,0.29839
-0.14569,0.45732
-0.10291,0.52044
-0.2818,0.66953
0.0993,0.0939
-0.19426,0.61096
-0.22294,0.60346
-0.19365,0.50364
-0.10812,0.41201
-0.24243,0.5503
-0.17492,0.52877
0.01758,0.23472
0.05261,0.15622
-0.02503,0.30236
0.03301,0.23607
-0.12234,0.46435
-0.30331,0.62625
-0.02236,0.32203
0.07395,0.09682
0.12155,0.10979
-0.30973,0.61189
-0.393,0.64911
0.10416,0.03033
-0.15053,0.56263
-0.2254,0.61143
-0.29198,0.64041
-0.18227,0.58969
0.1393,0.14126
-0.27135,0.60006
-0.30239,0.66182
-0.28886,0.64104
-0.2507,0.62351
-0.24362,0.64373
-0.23211,0.61113
-0.23218,0.58974
-0.20116,0.55524
0.07632,0.16226
-0.12534,0.55489
0.03184,0.31256
-0.17844,0.53046
-0.28009,0.65356
0.09129,0.12154
-0.09426,0.39993
0.04119,0.20678
0.11617,0.11131
-0.2127,0.59444
-0.08298,0.47219
-0.3049,0.67713
0.01089,0.17782
-0.21358,0.50488
-0.09444,0.43428
-0.21135,0.56973
-0.2033,0.59158
0.02223,0.06581
-0.28941,0.60025
-0.10916,0.5189
0.03318,0.15838
-0.19035,0.58243
-0.1699,0.5295
-0.22007,0.5933
-0.18816,0.58259
-0.2432,0.57475
0.07874,0.15329
-0.09665,0.48518
-0.28822,0.66873
-0.19653,0.59832
-0.21383,0.60943
-0.26399,0.62942
-0.23034,0.60777
-0.19128,0.5731
0.01954,0.23624
-0.16185,0.54209
-0.18885,0.5162
-0.22978,0.5992
0.08403,0.18422
0.10124,0.15323
-0.26215,0.61967
-0.25702,0.62376
-0.24881,0.62912
-0.31492,0.68278
-0.22512,0.61257
-0.25127,0.62858
-0.127,0.44326
-0.17473,0.5411
-0.28974,0.6551
0.0911,0.11851
-0.23738,0.61586
0.05573,0.15834
-0.22776,0.53831
0.08741,0.13643
-0.22739,0.61881
-0.09498,0.45221
-0.04201,0.43169
-0.27361,0.59245
-0.18833,0.59651
-0.03363,0.29501
-0.18419,0.60138
-0.04309,0.31038
-0.32271,0.64387
-0.22146,0.60101
-0.15281,0.48284
-0.17886,0.56353
-0.18736,0.59668
-0.23367,0.61262
-0.1272,0.46582
-0.32349,0.6225
-0.06777,0.31855
-0.10716,0.44041
-0.2729,0.61868
-0.17352,0.56406
-0.2429,0.63415
-0.07064,0.36039
-0.2118,0.60429
-0.01088,0.22412
-0.21034,0.61428
-0.28724,0.6514
-0.17285,0.50771
-0.27532,0.63095
-0.01555,0.43812
0.0514,0.21741
-0.32131,0.67219
-0.07286,0.41012
0.08863,0.04337
-0.2365,0.61197
-0.22812,0.60481
-0.25422,0.5875
-0.019,0.35537
0.03802,0.19743
-0.25871,0.63773
-0.24482,0.54022
-0.2048,0.61479
-0.27469,0.55552
-0.22017,0.57421
0.01056,0.31873
-0.11444,0.50726
0.0514,0.27664
-0.27552,0.61238
-0.19174,0.56376
-0.32529,0.68211
-0.01708,0.39093
-0.23007,0.58071
-0.13013,0.53387
-0.28801,0.66557
0.08257,0.12196
-0.16212,0.54072
-0.22567,0.61389
-0.00266,0.28263
-0.19422,0.58344
0.01084,0.22235
0.09921,0.12244
-0.08081,0.38071
-0.15066,0.55205
-0.09712,0.39324
-0.27416,0.60224
-0.22517,0.60927
-0.13768,0.49491
-0.17466,0.60354
-0.22416,0.61591
-0.01989,0.43535
0.06956,0.11439
-0.19002,0.56618
-0.09246,0.44751
-0.21133,0.54129
-0.191,0.58932
-0.13156,0.51782
-0.26083,0.58378
0.00502,0.28678
-0.26361,0.6218
-0.10488,0.50245
-0.23827,0.61713
-0.07521,0.44832
-0.11331,0.46318
0.02915,0.31714
-0.16325,0.55389
-0.1792,0.5401
-0.24831,0.61958
0.06435,0.15826
-0.23257,0.55949
-0.26487,0.65904
-0.13918,0.45118
-0.25561,0.60187
-0.25302,0.63348
-0.1044,0.46044
-0.00431,0.28276
0.14203,0.11408
-0.09951,0.46094
-0.33116,0.60817
-0.2883,0.66769
-0.09662,0.47938
0.08603,0.12817
-0.07369,0.44991
0.06108,0.07377
-0.33529,0.68075
-0.0424,0.45153
-0.26139,0.63381
0.01204,0.24103
-0.02925,0.23772
0.04289,0.12185
-0.2396,0.61795
-0.20783,0.5895
-0.13828,0.48175
-0.24276,0.62727
0.0359,0.18763
-0.05813,0.40236
-0.00899,-0.00358
-0.37898,0.62538
-0.22361,0.57071
-0.24552,0.60457
